date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:59	17987/17987	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2007:11:02%20GMT	http://lifeinsys.com/item/malena/light/index.html	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/light/index.html	(from )
16:47:59	132/132	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Jun%202019%2021:45:29%20GMT	http://lifeinsys.com/robots.txt		(from )
16:47:59	161/161	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Jun%202019%2021:45:30%20GMT	http://lifeinsys.com/item/malena/resources/img/favicon.png	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/favicon.png	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:00	2014/2014	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad11-1055%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:00	52053/52053	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad23-cb55%22	http://lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.min.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/ionicons/ionicons.min.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:00	30958/30958	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad29-78ee%22	http://lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/fontawesome/font-awesome.min.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:00	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad2e-1e822%22	http://lifeinsys.com/item/malena/resources/css/bootstrap.min.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/css/bootstrap.min.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:00	17216/17216	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad31-4340%22	http://lifeinsys.com/item/malena/resources/js/lib/swiper.min.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/swiper.min.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:01	3724/3724	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad32-e8c%22	http://lifeinsys.com/item/malena/resources/js/lib/jquery.fullpage.min.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/jquery.fullpage.min.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:01	10070/10070	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad36-2756%22	http://lifeinsys.com/item/malena/resources/js/lib/vegas/vegas.min.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/vegas/vegas.min.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:02	110713/110713	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad2b-2300e%22	http://lifeinsys.com/item/malena/resources/css/style.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/css/style.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:02	3940/3940	---MCZ	200	added ('OK')	text/css	etag:W/%225c88ad2c-12af%22	http://lifeinsys.com/item/malena/resources/css/style-light.css	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/css/style-light.css	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:02	5156/5156	---M--	200	added ('OK')	image/png	etag:%225c88ad4c-1424%22	http://lifeinsys.com/item/malena/resources/img/logo-black.png	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/logo-black.png	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:03	6296/6296	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2007:11:00%20GMT	http://lifeinsys.com/item/malena/light/item.html	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/light/item.html	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:26	164707/164707	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad50-28363%22	http://lifeinsys.com/item/malena/resources/img/team-1.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/team-1.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:48:41	236775/236775	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad4d-39ce7%22	http://lifeinsys.com/item/malena/resources/img/team-2.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/team-2.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:02	362138/362138	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad4d-5869a%22	http://lifeinsys.com/item/malena/resources/img/team-3.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/team-3.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:04	10826/10826	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad4f-2a4a%22	http://lifeinsys.com/item/malena/resources/img/client-1.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/client-1.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:05	6116/6116	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad4e-17e4%22	http://lifeinsys.com/item/malena/resources/img/client-2.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/client-2.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:07	8526/8526	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad43-214e%22	http://lifeinsys.com/item/malena/resources/img/client-3.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/client-3.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:09	407024/407024	---M--	200	added ('OK')	image/jpeg	etag:%225c88ad49-635f0%22	http://lifeinsys.com/item/malena/resources/img/project-1.jpg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/project-1.jpg	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:10	6637/6637	---M--	200	added ('OK')	image/png	etag:%225c88ad44-19ed%22	http://lifeinsys.com/item/malena/resources/img/phone-icon.png	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/phone-icon.png	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:11	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d091971-4d7%22	http://lifeinsys.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:15	52942/52942	---M--	200	added ('OK')	image/png	etag:%225c88ad3e-cece%22	http://lifeinsys.com/item/malena/resources/img/subscrip-img.png	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/img/subscrip-img.png	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:17	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c88ad34-17b8b%22	http://lifeinsys.com/item/malena/resources/js/lib/jquery-1.12.4.min.js	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/jquery-1.12.4.min.js	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:17	39343/39343	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c88ad35-99af%22	http://lifeinsys.com/item/malena/resources/js/lib/scrolloverflow.min.js	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/scrolloverflow.min.js	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:19	23364/23364	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c88ad39-5b44%22	http://lifeinsys.com/item/malena/resources/js/lib/particlejs/particles.min.js	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/particlejs/particles.min.js	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:20	6819/6819	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2bbc3-3028%22	http://lifeinsys.com/item/malena/resources/js/custom.js	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/custom.js	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:24	19544/19544	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad12-4c58%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.eot	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.eot	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:24	171454/171454	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c88ad30-2d0b6%22	http://lifeinsys.com/item/malena/resources/js/lib/all.js	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/js/lib/all.js	(from http://lifeinsys.com/item/malena/light/index.html)
16:49:29	19544/19544	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad12-4c58%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.eot?	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfontd41d.eot	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:29	22432/22432	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c88ad13-57a0%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.woff	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.woff	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:31	118259/118259	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c88ad15-1cdf3%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.svg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.svg	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
